,short_name,order_name
0,hit1,H2Db_06717_std
1,hit2,H2Db_09138_std_graft
2,hit3,H2Db_07156_nat
3,hit4,H2Db_03208_nat
4,hit5,H2Db_01293_nat
5,hit6,H2Db_02054_nat
