,1,2,3,4,5,6,7,8,9,10,11,12
A,248,257,259,243,228,216,223,213,208,199,181,213
B,250,249,271,248,228,219,203,201,199,201,211,200
C,249,250,254,246,222,209,199,193,200,195,198,196
D,204,192,193,156,518,534,528,522,538,524,528,510
E,195,188,183,148,503,517,537,520,532,521,516,516
F,188,190,181,144,496,515,514,506,518,519,516,517
