,1,2,3,4,5,6,7,8,9,10,11,12
A,205,197,201,193,216,183,206,197,193,198,165,169
B,200,194,198,194,215,185,208,189,204,188,167,169
C,201,200,193,194,207,181,197,184,198,182,169,180
D,200,203,204,179,534,535,527,524,530,537,529,527
E,198,192,212,178,497,507,519,511,535,521,510,519
F,178,165,182,170,489,512,513,507,510,529,512,511
