,1,2,3,4,5,6,7,8,9,10,11,12
A,407,413,420,410,404,404,402,405,365,312,285,268
B,408,407,413,408,400,401,402,401,358,318,287,250
C,406,414,424,406,405,399,401,398,359,307,281,255
D,248,243,245,237,561,532,517,534,547,549,571,544
E,252,258,254,248,563,540,552,562,559,550,572,566
F,246,250,246,236,573,567,558,551,550,537,564,569
