,1,2,3,4,5,6,7,8,9,10,11,12
A,261,215,169,139,118,120,120,119,118,113,115,115
B,258,219,167,138,121,120,122,119,121,118,124,119
C,254,215,169,166,114,122,126,115,118,117,117,113
D,112,112,118,112,559,547,547,570,569,572,539,527
E,106,111,112,111,584,578,575,578,554,546,565,543
F,112,110,114,111,544,548,576,523,540,548,551,544
