,1,2,3,4,5,6,7,8,9,10,11,12
A,300,258,222,179,142,126,125,116,117,118,112,114
B,304,258,224,178,145,118,124,121,115,113,109,107
C,306,260,175,180,143,121,129,119,116,117,113,110
D,113,112,115,113,550,557,562,567,530,546,540,550
E,113,119,123,111,574,524,530,577,534,525,517,535
F,114,118,116,106,525,568,559,532,533,528,519,526
