Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y
529	0,675781	529	1,3457	529	1,75	529	1,4375	529	1,39648	529	1,16992	529	1,03906	529	0,914063	529	0,740234	529	0,642578	529	0,517578	529	0,548828	529	0,5625
529,1	0,683594	529,1	1,33984	529,1	1,74805	529,1	1,44727	529,1	1,40039	529,1	1,17969	529,1	1,03125	529,1	0,919922	529,1	0,740234	529,1	0,640625	529,1	0,511719	529,1	0,546875	529,1	0,582031
529,2	0,690613	529,2	1,33514	529,2	1,76483	529,2	1,47968	529,2	1,40155	529,2	1,2121	529,2	1,0246	529,2	0,9375	529,2	0,755066	529,2	0,648438	529,2	0,536316	529,2	0,553894	529,2	0,605469
529,3	0,671875	529,3	1,32813	529,3	1,75391	529,3	1,49689	529,3	1,3797	529,3	1,20703	529,3	1,00977	529,3	0,929688	529,3	0,734375	529,3	0,626953	529,3	0,53125	529,3	0,527344	529,3	0,587891
529,4	0,642578	529,4	1,31055	529,4	1,75861	529,4	1,48242	529,4	1,36523	529,4	1,19336	529,4	0,986328	529,4	0,925781	529,4	0,730469	529,4	0,601563	529,4	0,525391	529,4	0,529297	529,4	0,589844
529,5	0,649231	529,5	1,31836	529,5	1,78516	529,5	1,49805	529,5	1,38086	529,5	1,18359	529,5	0,996094	529,5	0,90625	529,5	0,734375	529,5	0,591797	529,5	0,505859	529,5	0,546875	529,5	0,59375
529,6	0,669922	529,6	1,33984	529,6	1,81445	529,6	1,52734	529,6	1,38477	529,6	1,18945	529,6	1,02539	529,6	0,916016	529,6	0,763672	529,6	0,623047	529,6	0,515625	529,6	0,550781	529,6	0,585938
529,7	0,669922	529,7	1,32813	529,7	1,78516	529,7	1,53711	529,7	1,42773	529,7	1,19611	529,7	1,03125	529,7	0,929688	529,7	0,744141	529,7	0,621094	529,7	0,515625	529,7	0,546875	529,7	0,597656
529,8	0,654297	529,8	1,32031	529,8	1,78516	529,8	1,54297	529,8	1,4375	529,8	1,22852	529,8	0,996094	529,8	0,929688	529,8	0,722656	529,8	0,626953	529,8	0,484375	529,8	0,525391	529,8	0,580078
529,9	0,654297	529,9	1,30859	529,9	1,76953	529,9	1,53906	529,9	1,45508	529,9	1,25	529,9	1,00665	529,9	0,929688	529,9	0,699219	529,9	0,621094	529,9	0,470703	529,9	0,53125	529,9	0,572266
530	0,673828	530	1,31445	530	1,77539	530	1,54688	530	1,43555	530	1,24414	530	1,04688	530	0,939453	530	0,707825	530	0,646484	530	0,464844	530	0,546875	530	0,585938
530,1	0,65155	530,1	1,29803	530,1	1,75116	530,1	1,53046	530,1	1,40936	530,1	1,22186	530,1	1,01874	530,1	0,928894	530,1	0,678894	530,1	0,665222	530,1	0,4328	530,1	0,540222	530,1	0,56366
530,2	0,625	530,2	1,27539	530,2	1,73047	530,2	1,50391	530,2	1,38672	530,2	1,19922	530,2	0,992188	530,2	0,918762	530,2	0,650391	530,2	0,653137	530,2	0,407043	530,2	0,539063	530,2	0,554688
530,3	0,601563	530,3	1,25586	530,3	1,69806	530,3	1,45508	530,3	1,36719	530,3	1,16211	530,3	0,960938	530,3	0,916016	530,3	0,623047	530,3	0,625	530,3	0,408203	530,3	0,528137	530,3	0,542969
530,4	0,616394	530,4	1,26172	530,4	1,716	530,4	1,42889	530,4	1,37225	530,4	1,13983	530,4	0,946472	530,4	0,923035	530,4	0,633972	530,4	0,602722	530,4	0,395691	530,4	0,52655	530,4	0,541016
530,5	0,674622	530,5	1,31641	530,5	1,73242	530,5	1,4422	530,5	1,37891	530,5	1,13867	530,5	0,981262	530,5	0,933594	530,5	0,643372	530,5	0,621094	530,5	0,404297	530,5	0,525391	530,5	0,558594
530,6	0,724609	530,6	1,32422	530,6	1,75781	530,6	1,45898	530,6	1,41095	530,6	1,17072	530,6	1,01563	530,6	0,939453	530,6	0,666016	530,6	0,645325	530,6	0,448059	530,6	0,539063	530,6	0,556641
530,7	0,693359	530,7	1,30469	530,7	1,71368	530,7	1,44922	530,7	1,43555	530,7	1,18945	530,7	1,01563	530,7	0,919922	530,7	0,654297	530,7	0,617188	530,7	0,474609	530,7	0,539063	530,7	0,521484
530,8	0,703125	530,8	1,31836	530,8	1,73828	530,8	1,45313	530,8	1,42383	530,8	1,19727	530,8	1,03125	530,8	0,928528	530,8	0,66095	530,8	0,636719	530,8	0,457825	530,8	0,555481	530,8	0,515625
530,9	0,682434	530,9	1,28516	530,9	1,73242	530,9	1,45117	530,9	1,41095	530,9	1,1875	530,9	1,00391	530,9	0,929688	530,9	0,6875	530,9	0,617188	530,9	0,464844	530,9	0,571472	530,9	0,529297
531	0,71875	531	1,31604	531	1,75586	531	1,48242	531	1,42188	531	1,16992	531	1,00781	531	0,947266	531	0,707031	531	0,623047	531	0,488281	531	0,542969	531	0,537109
531,1	0,770325	531,1	1,40509	531,1	1,80157	531,1	1,51447	531,1	1,46759	531,1	1,22424	531,1	1,05627	531,1	0,996094	531,1	0,737122	531,1	0,626953	531,1	0,532043	531,1	0,535156	531,1	0,573059
531,2	0,852356	531,2	1,48126	531,2	1,86212	531,2	1,5965	531,2	1,55548	531,2	1,29376	531,2	1,1629	531,2	1,03009	531,2	0,810547	531,2	0,626953	531,2	0,610168	531,2	0,570313	531,2	0,603516
531,3	0,880859	531,3	1,52734	531,3	1,87811	531,3	1,62109	531,3	1,61914	531,3	1,32227	531,3	1,23438	531,3	1,04218	531,3	0,841797	531,3	0,6203	531,3	0,639832	531,3	0,570313	531,3	0,591797
531,4	0,910156	531,4	1,54688	531,4	1,91016	531,4	1,67853	531,4	1,66876	531,4	1,38556	531,4	1,26367	531,4	1,03711	531,4	0,853516	531,4	0,6297	531,4	0,653137	531,4	0,589844	531,4	0,580078
531,5	0,885925	531,5	1,51288	531,5	1,86835	531,5	1,70587	531,5	1,66797	531,5	1,40155	531,5	1,24805	531,5	1,00586	531,5	0,811707	531,5	0,608582	531,5	0,632019	531,5	0,560547	531,5	0,571472
531,6	0,865234	531,6	1,4707	531,6	1,82031	531,6	1,74219	531,6	1,65155	531,6	1,37305	531,6	1,22772	531,6	0,971863	531,6	0,771484	531,6	0,589844	531,6	0,587891	531,6	0,552734	531,6	0,53125
531,7	0,878906	531,7	1,47461	531,7	1,81836	531,7	1,79572	531,7	1,65039	531,7	1,35547	531,7	1,2168	531,7	0,994934	531,7	0,759766	531,7	0,62384	531,7	0,578125	531,7	0,552734	531,7	0,539856
531,8	0,894531	531,8	1,49805	531,8	1,89063	531,8	1,85272	531,8	1,67188	531,8	1,36053	531,8	1,24023	531,8	1,03516	531,8	0,791016	531,8	0,643738	531,8	0,623047	531,8	0,554688	531,8	0,551941
531,9	0,888672	531,9	1,46094	531,9	1,88593	531,9	1,82422	531,9	1,64178	531,9	1,32031	531,9	1,20038	531,9	0,9953	531,9	0,770691	531,9	0,609375	531,9	0,626953	531,9	0,570313	531,9	0,498047
532	0,87616	532	1,4668	532	1,82617	532	1,78632	532	1,64844	532	1,29608	532	1,21954	532	0,974609	532	0,699219	532	0,621094	532	0,587097	532	0,575012	532	0,505859
532,1	0,820679	532,1	1,43707	532,1	1,80975	532,1	1,71716	532,1	1,65936	532,1	1,28436	532,1	1,18121	532,1	0,950378	532,1	0,667175	532,1	0,612488	532,1	0,510925	532,1	0,585144	532,1	0,497253
532,2	0,734375	532,2	1,32422	532,2	1,76953	532,2	1,64063	532,2	1,59296	532,2	1,20508	532,2	1,07031	532,2	0,885559	532,2	0,632813	532,2	0,578918	532,2	0,460938	532,2	0,576965	532,2	0,433594
532,3	0,680847	532,3	1,28436	532,3	1,73163	532,3	1,54999	532,3	1,47772	532,3	1,10663	532,3	1,01172	532,3	0,866394	532,3	0,601563	532,3	0,585938	532,3	0,415222	532,3	0,572266	532,3	0,435547
532,4	0,649231	532,4	1,26837	532,4	1,7215	532,4	1,50311	532,4	1,45197	532,4	1,10742	532,4	0,960144	532,4	0,862122	532,4	0,59375	532,4	0,606262	532,4	0,418762	532,4	0,600403	532,4	0,4422
532,5	0,665222	532,5	1,29803	532,5	1,75	532,5	1,46991	532,5	1,45233	532,5	1,07147	532,5	0,966797	532,5	0,892578	532,5	0,609375	532,5	0,664063	532,5	0,447266	532,5	0,640625	532,5	0,488281
532,6	0,680481	532,6	1,31134	532,6	1,79297	532,6	1,41522	532,6	1,45508	532,6	1,0625	532,6	0,989075	532,6	0,898438	532,6	0,643372	532,6	0,72345	532,6	0,457031	532,6	0,684387	532,6	0,528137
532,7	0,689453	532,7	1,32422	532,7	1,7832	532,7	1,35468	532,7	1,43359	532,7	1,07422	532,7	0,989441	532,7	0,923828	532,7	0,685547	532,7	0,725769	532,7	0,490234	532,7	0,696472	532,7	0,572266
532,8	0,650391	532,8	1,30664	532,8	1,78204	532,8	1,29688	532,8	1,41992	532,8	1,09845	532,8	0,981262	532,8	0,919922	532,8	0,715637	532,8	0,695313	532,8	0,512512	532,8	0,664063	532,8	0,582031
532,9	0,632019	532,9	1,28046	532,9	1,79413	532,9	1,25977	532,9	1,43439	532,9	1,14142	532,9	0,954285	532,9	0,929688	532,9	0,729675	532,9	0,661316	532,9	0,494141	532,9	0,649597	532,9	0,561707
533	0,623047	533	1,2832	533	1,8172	533	1,29767	533	1,48828	533	1,20898	533	0,96759	533	0,951172	533	0,753906	533	0,681641	533	0,527344	533	0,654297	533	0,556641
533,1	0,66095	533,1	1,3172	533,1	1,86523	533,1	1,3465	533,1	1,52032	533,1	1,24689	533,1	1,01172	533,1	0,962891	533,1	0,765625	533,1	0,678528	533,1	0,574219	533,1	0,673828	533,1	0,5672
533,2	0,658203	533,2	1,30859	533,2	1,88086	533,2	1,38281	533,2	1,55078	533,2	1,27344	533,2	1,04572	533,2	0,958984	533,2	0,769531	533,2	0,697266	533,2	0,574219	533,2	0,681641	533,2	0,570313
533,3	0,697266	533,3	1,3418	533,3	1,88867	533,3	1,44025	533,3	1,59961	533,3	1,29883	533,3	1,12305	533,3	1,00977	533,3	0,791016	533,3	0,714844	533,3	0,613281	533,3	0,72345	533,3	0,625
533,4	0,720703	533,4	1,37695	533,4	1,88867	533,4	1,5047	533,4	1,61719	533,4	1,30469	533,4	1,16797	533,4	1,04102	533,4	0,809387	533,4	0,722656	533,4	0,615234	533,4	0,730469	533,4	0,640625
533,5	0,727356	533,5	1,38751	533,5	1,87891	533,5	1,50977	533,5	1,58984	533,5	1,27539	533,5	1,16016	533,5	1,02539	533,5	0,775391	533,5	0,710938	533,5	0,566406	533,5	0,710938	533,5	0,630859
533,6	0,75	533,6	1,41406	533,6	1,88672	533,6	1,54181	533,6	1,59375	533,6	1,27539	533,6	1,15704	533,6	1,02734	533,6	0,783203	533,6	0,71875	533,6	0,587891	533,6	0,714844	533,6	0,638672
533,7	0,751953	533,7	1,41797	533,7	1,87891	533,7	1,54413	533,7	1,58398	533,7	1,26953	533,7	1,16211	533,7	1,04492	533,7	0,785156	533,7	0,724609	533,7	0,589844	533,7	0,705078	533,7	0,644531
533,8	0,765625	533,8	1,45703	533,8	1,91016	533,8	1,55469	533,8	1,61719	533,8	1,28711	533,8	1,16992	533,8	1,05078	533,8	0,791016	533,8	0,732422	533,8	0,602356	533,8	0,708984	533,8	0,667969
533,9	0,778137	533,9	1,45313	533,9	1,90039	533,9	1,56329	533,9	1,61133	533,9	1,28906	533,9	1,17188	533,9	1,05078	533,9	0,794922	533,9	0,710938	533,9	0,611328	533,9	0,705078	533,9	0,675781
534	0,784363	534	1,44922	534	1,88397	534	1,57147	534	1,58905	534	1,26874	534	1,15155	534	1,0246	534	0,799988	534	0,700378	534	0,600769	534	0,700378	534	0,659363
534,1	0,759766	534,1	1,45313	534,1	1,87305	534,1	1,5957	534,1	1,58984	534,1	1,2832	534,1	1,16602	534,1	1,01447	534,1	0,783203	534,1	0,699219	534,1	0,591797	534,1	0,6875	534,1	0,668762
534,2	0,751953	534,2	1,43945	534,2	1,86133	534,2	1,58789	534,2	1,58008	534,2	1,29102	534,2	1,16016	534,2	1,00977	534,2	0,798828	534,2	0,684387	534,2	0,578125	534,2	0,703918	534,2	0,677734
534,3	0,767578	534,3	1,43945	534,3	1,86798	534,3	1,58203	534,3	1,57422	534,3	1,29767	534,3	1,16602	534,3	1,01953	534,3	0,818359	534,3	0,669922	534,3	0,599609	534,3	0,708984	534,3	0,693359
534,4	0,748047	534,4	1,41797	534,4	1,86914	534,4	1,56641	534,4	1,56329	534,4	1,29297	534,4	1,14453	534,4	0,988281	534,4	0,791016	534,4	0,660156	534,4	0,572266	534,4	0,693359	534,4	0,683594
534,5	0,761719	534,5	1,41992	534,5	1,87695	534,5	1,58008	534,5	1,58008	534,5	1,3125	534,5	1,16406	534,5	0,984375	534,5	0,798828	534,5	0,669922	534,5	0,597656	534,5	0,689453	534,5	0,699219
534,6	0,796875	534,6	1,44141	534,6	1,89844	534,6	1,59961	534,6	1,58984	534,6	1,33203	534,6	1,17969	534,6	1,00195	534,6	0,820313	534,6	0,693359	534,6	0,621887	534,6	0,712891	534,6	0,705078
534,7	0,794922	534,7	1,42969	534,7	1,88086	534,7	1,60742	534,7	1,58203	534,7	1,33398	534,7	1,16602	534,7	1,00977	534,7	0,814453	534,7	0,701172	534,7	0,611328	534,7	0,722656	534,7	0,689453
534,8	0,798828	534,8	1,4375	534,8	1,88867	534,8	1,60547	534,8	1,58398	534,8	1,32813	534,8	1,16602	534,8	1,00586	534,8	0,815247	534,8	0,714844	534,8	0,621094	534,8	0,710938	534,8	0,685547
534,9	0,818359	534,9	1,42383	534,9	1,88672	534,9	1,61719	534,9	1,57227	534,9	1,30469	534,9	1,16602	534,9	1,0293	534,9	0,830078	534,9	0,710938	534,9	0,611328	534,9	0,710938	534,9	0,660156
535	0,822266	535	1,42773	535	1,89258	535	1,61719	535	1,58008	535	1,30859	535	1,19922	535	1,03906	535	0,824219	535	0,720703	535	0,621094	535	0,701172	535	0,650391
535,1	0,824219	535,1	1,44727	535,1	1,89844	535,1	1,62109	535,1	1,58984	535,1	1,32813	535,1	1,21875	535,1	1,04492	535,1	0,824219	535,1	0,724609	535,1	0,615234	535,1	0,685547	535,1	0,644531
535,2	0,84375	535,2	1,47461	535,2	1,91406	535,2	1,62305	535,2	1,60156	535,2	1,33008	535,2	1,2215	535,2	1,03516	535,2	0,835938	535,2	0,710938	535,2	0,597656	535,2	0,677734	535,2	0,636719
535,3	0,828125	535,3	1,49219	535,3	1,93164	535,3	1,61719	535,3	1,60352	535,3	1,31641	535,3	1,21094	535,3	1,02344	535,3	0,789063	535,3	0,689453	535,3	0,591797	535,3	0,650391	535,3	0,625
535,4	0,828125	535,4	1,5047	535,4	1,92969	535,4	1,61719	535,4	1,60547	535,4	1,32031	535,4	1,22266	535,4	1,00977	535,4	0,771484	535,4	0,696106	535,4	0,572266	535,4	0,65625	535,4	0,615234
535,5	0,841797	535,5	1,53516	535,5	1,93945	535,5	1,63672	535,5	1,61328	535,5	1,30859	535,5	1,23242	535,5	1,01953	535,5	0,789063	535,5	0,712891	535,5	0,572266	535,5	0,669922	535,5	0,621094
535,6	0,862122	535,6	1,54883	535,6	1,94727	535,6	1,64648	535,6	1,61914	535,6	1,3125	535,6	1,22577	535,6	1,00781	535,6	0,783203	535,6	0,714844	535,6	0,560547	535,6	0,683594	535,6	0,62384
535,7	0,837891	535,7	1,51367	535,7	1,91797	535,7	1,63165	535,7	1,59454	535,7	1,27734	535,7	1,21368	535,7	0,983215	535,7	0,757813	535,7	0,695313	535,7	0,541016	535,7	0,669922	535,7	0,605469
535,8	0,839844	535,8	1,5293	535,8	1,93945	535,8	1,66211	535,8	1,61639	535,8	1,29297	535,8	1,21796	535,8	0,990234	535,8	0,763672	535,8	0,710938	535,8	0,550781	535,8	0,679688	535,8	0,630859
535,9	0,830078	535,9	1,53906	535,9	1,92773	535,9	1,67188	535,9	1,60431	535,9	1,29688	535,9	1,20392	535,9	0,994141	535,9	0,769531	535,9	0,695313	535,9	0,554688	535,9	0,660156	535,9	0,621094
536	0,798828	536	1,51953	536	1,90234	536	1,6582	536	1,61133	536	1,28711	536	1,18164	536	0,970703	536	0,751953	536	0,679688	536	0,544922	536	0,660156	536	0,615234
536,1	0,810547	536,1	1,54102	536,1	1,92969	536,1	1,6582	536,1	1,62109	536,1	1,28906	536,1	1,16602	536,1	0,974609	536,1	0,779297	536,1	0,695313	536,1	0,570313	536,1	0,691406	536,1	0,630859
536,2	0,818359	536,2	1,53906	536,2	1,94727	536,2	1,66797	536,2	1,63086	536,2	1,29688	536,2	1,17578	536,2	0,974609	536,2	0,792969	536,2	0,714844	536,2	0,589844	536,2	0,712891	536,2	0,644531
536,3	0,820313	536,3	1,51367	536,3	1,92969	536,3	1,64844	536,3	1,60547	536,3	1,29883	536,3	1,16211	536,3	0,990234	536,3	0,792969	536,3	0,732422	536,3	0,615234	536,3	0,724609	536,3	0,654297
536,4	0,839844	536,4	1,5293	536,4	1,94141	536,4	1,68164	536,4	1,625	536,4	1,32813	536,4	1,19141	536,4	1,01367	536,4	0,828125	536,4	0,773438	536,4	0,644531	536,4	0,751953	536,4	0,65625
536,5	0,855469	536,5	1,51563	536,5	1,94025	536,5	1,68359	536,5	1,63672	536,5	1,32892	536,5	1,18164	536,5	1,02734	536,5	0,839844	536,5	0,787109	536,5	0,666016	536,5	0,75	536,5	0,643738
536,6	0,849609	536,6	1,51953	536,6	1,92969	536,6	1,66797	536,6	1,63477	536,6	1,35352	536,6	1,18164	536,6	1,0332	536,6	0,847656	536,6	0,775391	536,6	0,669922	536,6	0,726563	536,6	0,645325
536,7	0,835938	536,7	1,52148	536,7	1,93164	536,7	1,66406	536,7	1,64258	536,7	1,36133	536,7	1,1875	536,7	1,05664	536,7	0,869141	536,7	0,78595	536,7	0,691406	536,7	0,736328	536,7	0,642578
536,8	0,839844	536,8	1,5293	536,8	1,96289	536,8	1,67773	536,8	1,6543	536,8	1,37891	536,8	1,19531	536,8	1,06055	536,8	0,878906	536,8	0,816406	536,8	0,699219	536,8	0,744141	536,8	0,679688
536,9	0,84375	536,9	1,54492	536,9	1,9707	536,9	1,68359	536,9	1,65234	536,9	1,39453	536,9	1,21289	536,9	1,07422	536,9	0,898438	536,9	0,826172	536,9	0,716797	536,9	0,759766	536,9	0,685547
537	0,865234	537	1,56445	537	1,99023	537	1,70703	537	1,66992	537	1,4043	537	1,24023	537	1,08008	537	0,918762	537	0,851563	537	0,720703	537	0,775391	537	0,681641
537,1	0,855469	537,1	1,56445	537,1	1,98047	537,1	1,70898	537,1	1,67188	537,1	1,41406	537,1	1,26172	537,1	1,10547	537,1	0,941406	537,1	0,849609	537,1	0,724609	537,1	0,770325	537,1	0,703918
537,2	0,84375	537,2	1,55273	537,2	1,9707	537,2	1,70313	537,2	1,66406	537,2	1,41406	537,2	1,27148	537,2	1,09961	537,2	0,933594	537,2	0,837891	537,2	0,695313	537,2	0,759766	537,2	0,738281
537,3	0,833191	537,3	1,56366	537,3	1,96796	537,3	1,70233	537,3	1,66913	537,3	1,42303	537,3	1,28046	537,3	1,091	537,3	0,921082	537,3	0,825378	537,3	0,68866	537,3	0,77655	537,3	0,760925
537,4	0,818359	537,4	1,57306	537,4	1,98828	537,4	1,70117	537,4	1,67969	537,4	1,41211	537,4	1,2793	537,4	1,08203	537,4	0,910156	537,4	0,818359	537,4	0,664063	537,4	0,789856	537,4	0,739075
537,5	0,808594	537,5	1,57031	537,5	1,99219	537,5	1,70703	537,5	1,68439	537,5	1,4082	537,5	1,26367	537,5	1,07813	537,5	0,898438	537,5	0,832825	537,5	0,643372	537,5	0,765625	537,5	0,725403
537,6	0,800781	537,6	1,55859	537,6	1,99805	537,6	1,70508	537,6	1,69922	537,6	1,41602	537,6	1,27344	537,6	1,07422	537,6	0,886719	537,6	0,832031	537,6	0,648438	537,6	0,74884	537,6	0,734375
537,7	0,804688	537,7	1,56055	537,7	2,00391	537,7	1,70313	537,7	1,69141	537,7	1,42383	537,7	1,27032	537,7	1,07306	537,7	0,884766	537,7	0,84375	537,7	0,671875	537,7	0,746887	537,7	0,727356
537,8	0,822266	537,8	1,58398	537,8	2,01172	537,8	1,7168	537,8	1,69336	537,8	1,43164	537,8	1,27655	537,8	1,07422	537,8	0,873047	537,8	0,852356	537,8	0,700012	537,8	0,730469	537,8	0,739075
537,9	0,816406	537,9	1,57813	537,9	2,00195	537,9	1,70978	537,9	1,70313	537,9	1,42072	537,9	1,24414	537,9	1,06641	537,9	0,882813	537,9	0,835938	537,9	0,671875	537,9	0,719543	537,9	0,705078
538	0,837891	538	1,58984	538	2,02228	538	1,71875	538	1,69531	538	1,42383	538	1,22656	538	1,08203	538	0,914856	538	0,846497	538	0,66095	538	0,710938	538	0,721497
538,1	0,832031	538,1	1,55078	538,1	1,99414	538,1	1,68945	538,1	1,66992	538,1	1,39648	538,1	1,18359	538,1	1,0965	538,1	0,894531	538,1	0,824219	538,1	0,626953	538,1	0,700012	538,1	0,710938
538,2	0,837891	538,2	1,54883	538,2	2,00586	538,2	1,66797	538,2	1,64258	538,2	1,3703	538,2	1,15625	538,2	1,07617	538,2	0,87384	538,2	0,779297	538,2	0,610168	538,2	0,682434	538,2	0,6922
538,3	0,857422	538,3	1,55859	538,3	1,99414	538,3	1,6875	538,3	1,63672	538,3	1,37695	538,3	1,15234	538,3	1,09454	538,3	0,873047	538,3	0,762512	538,3	0,619934	538,3	0,679688	538,3	0,685547
538,4	0,862122	538,4	1,57422	538,4	1,96796	538,4	1,69336	538,4	1,64063	538,4	1,34766	538,4	1,14923	538,4	1,0957	538,4	0,881653	538,4	0,753906	538,4	0,621094	538,4	0,690247	538,4	0,696106
538,5	0,878906	538,5	1,57617	538,5	1,94336	538,5	1,69727	538,5	1,63867	538,5	1,3465	538,5	1,16016	538,5	1,05548	538,5	0,895325	538,5	0,746887	538,5	0,635559	538,5	0,707031	538,5	0,746094
538,6	0,873047	538,6	1,55859	538,6	1,94531	538,6	1,69531	538,6	1,6582	538,6	1,37109	538,6	1,17462	538,6	1,03906	538,6	0,878906	538,6	0,75	538,6	0,644531	538,6	0,733215	538,6	0,776184
538,7	0,878113	538,7	1,56055	538,7	1,96173	538,7	1,7168	538,7	1,65704	538,7	1,38477	538,7	1,18634	538,7	1,03009	538,7	0,893372	538,7	0,760559	538,7	0,65509	538,7	0,787109	538,7	0,818359
538,8	0,878906	538,8	1,57813	538,8	2	538,8	1,73242	538,8	1,71289	538,8	1,409	538,8	1,22266	538,8	1,04492	538,8	0,910156	538,8	0,802734	538,8	0,662109	538,8	0,834778	538,8	0,897278
538,9	0,841797	538,9	1,57227	538,9	2,01563	538,9	1,70508	538,9	1,72656	538,9	1,40625	538,9	1,19611	538,9	1,0379	538,9	0,889465	538,9	0,825012	538,9	0,66095	538,9	0,857422	538,9	0,898438
539	0,818359	539	1,57813	539	2,01837	539	1,68164	539	1,71954	539	1,38477	539	1,16992	539	1,03986	539	0,882813	539	0,818359	539	0,691406	539	0,857422	539	0,912109
539,1	0,778503	539,1	1,54218	539,1	1,99725	539,1	1,63593	539,1	1,71405	539,1	1,35742	539,1	1,16797	539,1	1,02264	539,1	0,871094	539,1	0,805847	539,1	0,697266	539,1	0,83905	539,1	0,883972
539,2	0,751953	539,2	1,53516	539,2	1,96954	539,2	1,61914	539,2	1,69415	539,2	1,32813	539,2	1,14923	539,2	0,991028	539,2	0,859375	539,2	0,772278	539,2	0,721497	539,2	0,794922	539,2	0,853516
539,3	0,775391	539,3	1,58984	539,3	1,98944	539,3	1,66797	539,3	1,71094	539,3	1,34766	539,3	1,16522	539,3	1,02069	539,3	0,902344	539,3	0,821472	539,3	0,774597	539,3	0,803894	539,3	0,868347
539,4	0,802734	539,4	1,59375	539,4	1,98322	539,4	1,70313	539,4	1,70508	539,4	1,34375	539,4	1,18243	539,4	1,05743	539,4	0,943359	539,4	0,84375	539,4	0,816406	539,4	0,832031	539,4	0,865234
539,5	0,849609	539,5	1,62305	539,5	2,00507	539,5	1,74335	539,5	1,71094	539,5	1,37109	539,5	1,216	539,5	1,11835	539,5	0,982422	539,5	0,868347	539,5	0,833191	539,5	0,860535	539,5	0,8703
539,6	0,859375	539,6	1,63361	539,6	2,01251	539,6	1,77032	539,6	1,7168	539,6	1,36328	539,6	1,22345	539,6	1,18243	539,6	1,03516	539,6	0,898438	539,6	0,84375	539,6	0,871094	539,6	0,875
539,7	0,869141	539,7	1,67303	539,7	2,0246	539,7	1,78241	539,7	1,716	539,7	1,37891	539,7	1,27148	539,7	1,24023	539,7	1,06055	539,7	0,913269	539,7	0,864441	539,7	0,883972	539,7	0,899597
539,8	0,898438	539,8	1,70392	539,8	2,04181	539,8	1,7879	539,8	1,74103	539,8	1,40625	539,8	1,31836	539,8	1,2793	539,8	1,07031	539,8	0,943359	539,8	0,882813	539,8	0,880859	539,8	0,914063
539,9	0,875	539,9	1,67889	539,9	2,03632	539,9	1,78046	539,9	1,72772	539,9	1,41797	539,9	1,33594	539,9	1,25507	539,9	1,04218	539,9	0,911316	539,9	0,880066	539,9	0,854675	539,9	0,90155
540	0,871094	540	1,67072	540	2,04572	540	1,76056	540	1,73322	540	1,45703	540	1,37305	540	1,26758	540	1,03516	540	0,916016	540	0,863281	540	0,888672	540	0,921875
540,1	0,877747	540,1	1,68439	540,1	2,08203	540,1	1,78711	540,1	1,78125	540,1	1,49884	540,1	1,43634	540,1	1,29102	540,1	1,03711	540,1	0,953125	540,1	0,869141	540,1	0,927734	540,1	0,941406
540,2	0,864441	540,2	1,69647	540,2	2,09766	540,2	1,79688	540,2	1,79297	540,2	1,51483	540,2	1,45233	540,2	1,28632	540,2	1,0285	540,2	0,960144	540,2	0,8703	540,2	0,928894	540,2	0,950378
540,3	0,860535	540,3	1,69452	540,3	2,13007	540,3	1,79413	540,3	1,82147	540,3	1,51953	540,3	1,48242	540,3	1,27264	540,3	1,01874	540,3	0,972656	540,3	0,864441	540,3	0,923828	540,3	0,955078
540,4	0,801575	540,4	1,64532	540,4	2,11212	540,4	1,75079	540,4	1,81836	540,4	1,48828	540,4	1,44922	540,4	1,23633	540,4	0,966797	540,4	0,941406	540,4	0,839844	540,4	0,882813	540,4	0,908203
540,5	0,791809	540,5	1,64728	540,5	2,13672	540,5	1,74023	540,5	1,83087	540,5	1,48828	540,5	1,41913	540,5	1,23633	540,5	0,958984	540,5	0,917969	540,5	0,850403	540,5	0,863281	540,5	0,892578
540,6	0,78241	540,6	1,6496	540,6	2,125	540,6	1,7207	540,6	1,80389	540,6	1,44257	540,6	1,3703	540,6	1,21796	540,6	0,956238	540,6	0,897644	540,6	0,854675	540,6	0,8078	540,6	0,864441
540,7	0,778137	540,7	1,64337	540,7	2,10547	540,7	1,71289	540,7	1,76758	540,7	1,41406	540,7	1,34766	540,7	1,20703	540,7	0,919922	540,7	0,863281	540,7	0,798828	540,7	0,763672	540,7	0,794922
