Cycle=1_Fc=2-1_X	Cycle=1_Fc=2-1_Y	Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y	Cycle=15_Fc=2-1_X	Cycle=15_Fc=2-1_Y	Cycle=16_Fc=2-1_X	Cycle=16_Fc=2-1_Y
2	0	2	16.2324	2	24.3496	2	26.9512	2	28.2988	2	28.9375	2	30.1211	2	30.3926	2	30.9629	2	32.1328	2	33.6133	2	33.9512	2	35.752	2	36.7207	2	38.5195	2	39.8828
2.1	0	2.1	16.2402	2.1	24.3379	2.1	26.9688	2.1	28.2969	2.1	28.9453	2.1	30.1191	2.1	30.3906	2.1	30.9707	2.1	32.1406	2.1	33.6113	2.1	33.9492	2.1	35.7598	2.1	36.7285	2.1	38.5176	2.1	39.8906
2.2	0	2.2	16.2383	2.2	24.3477	2.2	26.9785	2.2	28.3262	2.2	28.9473	2.2	30.1211	2.2	30.4121	2.2	30.9902	2.2	32.1406	2.2	33.6094	2.2	33.9492	2.2	35.7598	2.2	36.7285	2.2	38.5176	2.2	39.8906
2.3	0	2.3	16.2305	2.3	24.3301	2.3	26.9707	2.3	28.2988	2.3	28.9395	2.3	30.123	2.3	30.3926	2.3	30.9629	2.3	32.1328	2.3	33.6016	2.3	33.9414	2.3	35.752	2.3	36.7207	2.3	38.5195	2.3	39.8828
2.4	0	2.4	16.2598	2.4	24.3379	2.4	26.9785	2.4	28.3066	2.4	28.9473	2.4	30.1309	2.4	30.4004	2.4	30.9922	2.4	32.1523	2.4	33.6289	2.4	33.9688	2.4	35.7695	2.4	36.7383	2.4	38.5371	2.4	39.9004
2.5	0	2.5	16.2598	2.5	24.3398	2.5	26.9785	2.5	28.3262	2.5	28.9375	2.5	30.1309	2.5	30.4004	2.5	30.9824	2.5	32.1426	2.5	33.6191	2.5	33.9492	2.5	35.7598	2.5	36.7285	2.5	38.5273	2.5	39.9023
2.6	0	2.6	16.252	2.6	24.332	2.6	26.9707	2.6	28.3184	2.6	28.9297	2.6	30.123	2.6	30.3926	2.6	30.9941	2.6	32.1445	2.6	33.623	2.6	33.9512	2.6	35.7715	2.6	36.7207	2.6	38.5391	2.6	39.8945
2.7	0	2.7	16.25	2.7	24.3496	2.7	26.9785	2.7	28.3262	2.7	28.9277	2.7	30.1309	2.7	30.4004	2.7	31.002	2.7	32.1523	2.7	33.6309	2.7	33.959	2.7	35.7793	2.7	36.7285	2.7	38.5371	2.7	39.8926
2.8	0	2.8	16.2793	2.8	24.3594	2.8	27.0078	2.8	28.3359	2.8	28.957	2.8	30.1602	2.8	30.4199	2.8	31.0117	2.8	32.1719	2.8	33.6504	2.8	33.9785	2.8	35.7891	2.8	36.7383	2.8	38.5566	2.8	39.9219
2.9	0	2.9	16.2813	2.9	24.3613	2.9	27.0098	2.9	28.3574	2.9	28.959	2.9	30.1621	2.9	30.4336	2.9	31.0234	2.9	32.1738	2.9	33.6523	2.9	33.9805	2.9	35.8105	2.9	36.7402	2.9	38.5684	2.9	39.9336
