Cycle: 18  gp33 Y4F  98 nM_X	Cycle: 18  gp33 Y4F  98 nM_Y	Cycle: 19  gp33 Y4F  195 nM_X	Cycle: 19  gp33 Y4F  195 nM_Y	Cycle: 20  gp33 Y4F  390 nM_X	Cycle: 20  gp33 Y4F  390 nM_Y	Cycle: 21  gp33 Y4F  390 nM_X	Cycle: 21  gp33 Y4F  390 nM_Y	Cycle: 22  gp33 Y4F  780 nM_X	Cycle: 22  gp33 Y4F  780 nM_Y	Cycle: 23  gp33 Y4F  1560 nM_X	Cycle: 23  gp33 Y4F  1560 nM_Y	Cycle: 24  gp33 Y4F  3125 nM_X	Cycle: 24  gp33 Y4F  3125 nM_Y	Cycle: 25  gp33 Y4F  3125 nM_X	Cycle: 25  gp33 Y4F  3125 nM_Y	Cycle: 26  gp33 Y4F  6250 nM_X	Cycle: 26  gp33 Y4F  6250 nM_Y	Cycle: 27  gp33 Y4F  12500 nM_X	Cycle: 27  gp33 Y4F  12500 nM_Y	Cycle: 28  gp33 Y4F  25000 nM_X	Cycle: 28  gp33 Y4F  25000 nM_Y	Cycle: 29  gp33 Y4F  25000 nM_X	Cycle: 29  gp33 Y4F  25000 nM_Y	Cycle: 30  gp33 Y4F  50000 nM_X	Cycle: 30  gp33 Y4F  50000 nM_Y	Cycle: 31  gp33 Y4F  100000 nM_X	Cycle: 31  gp33 Y4F  100000 nM_Y
-58,46	0,458206	-58,36	0,394589	-58,46	0,11705	-58,36	0,158078	-58,46	0,132095	-58,36	0,0396085	-58,36	-0,0116305	-58,36	-9,09758e-3	-58,36	-0,0917697	-58,36	-0,0414767	-58,46	-0,154251	-58,36	-0,21207	-58,46	-0,275589	-58,46	-0,361008
-58,36	0,448452	-58,26	0,384811	-58,3599	0,119003	-58,2599	0,156113	-58,36	0,112576	-58,26	0,0493622	-58,26	7,88879e-3	-58,26	-0,0188751	-58,2599	-0,101547	-58,2599	-0,031723	-58,36	-0,144474	-58,26	-0,212082	-58,36	-0,304874	-58,36	-0,35123
-58,2599	0,448441	-58,16	0,39946	-58,2599	0,128769	-58,16	0,131699	-58,2599	0,112564	-58,16	0,0347137	-58,16	-6,75964e-3	-58,16	-2,27356e-3	-58,16	-0,116196	-58,16	-0,0366058	-58,2599	-0,13472	-58,16	-0,207199	-58,2599	-0,29512	-58,2599	-0,341476
-58,16	0,455276	-58,06	0,409225	-58,16	0,11412	-58,06	0,15123	-58,16	0,1194	-58,06	0,0444794	-58,06	3,00598e-3	-58,06	7,49207e-3	-58,06	-0,116196	-58,06	-0,0170746	-58,16	-0,13765	-58,06	-0,187668	-58,16	-0,319534	-58,16	-0,336594
-58,0599	0,445511	-57,96	0,418991	-58,0599	0,133652	-57,96	0,160995	-58,0599	0,1194	-57,96	0,054245	-57,96	0,0147247	-57,96	7,49207e-3	-57,96	-0,0966644	-57,96	-0,0268402	-58,0599	-0,127884	-57,96	-0,177902	-58,0599	-0,3293	-58,0599	-0,346359
-57,96	0,455276	-57,86	0,404348	-57,96	0,123886	-57,86	0,148305	-57,96	0,109634	-57,86	0,0298362	-57,86	0,0196128	-57,86	-5,198e-3	-57,86	-0,0995889	-57,86	-0,0121865	-57,96	-0,127884	-57,86	-0,192545	-57,96	-0,309769	-57,96	-0,326828
-57,86	0,440633	-57,76	0,412162	-57,8599	0,138531	-57,7599	0,146347	-57,86	0,0949912	-57,76	0,0181193	-57,76	-1,86968e-3	-57,76	-9,10234e-3	-57,7599	-0,0898285	-57,7599	-0,0336761	-57,86	-0,132761	-57,76	-0,184731	-57,86	-0,324412	-57,86	-0,361002
-57,7599	0,419144	-57,66	0,387741	-57,7599	0,126816	-57,66	0,141464	-57,7599	0,112564	-57,66	0,0347137	-57,66	0,0225372	-57,66	-2,27356e-3	-57,66	-0,10643	-57,66	-0,038559	-57,7599	-0,144485	-57,66	-0,179855	-57,7599	-0,345901	-57,7599	-0,353195
-57,66	0,414261	-57,56	0,408249	-57,66	0,141464	-57,56	0,130723	-57,66	0,107681	-57,56	0,0435033	-57,56	0,0215611	-57,56	6,51598e-3	-57,56	-0,0956874	-57,56	-0,0297694	-57,66	-0,1689	-57,56	-0,1613	-57,66	-0,321487	-57,66	-0,367844
-57,5599	0,432816	-57,46	0,413135	-57,5599	0,150253	-57,46	0,125839	-57,5599	0,126236	-57,46	0,0483856	-57,46	0,016681	-57,46	1,63269e-3	-57,46	-0,0927582	-57,46	-0,0248871	-57,5599	-0,16011	-57,46	-0,154465	-57,5599	-0,341995	-57,5599	-0,359055
