Cycle=1_Fc=2-1_X	Cycle=1_Fc=2-1_Y	Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y	Cycle=15_Fc=2-1_X	Cycle=15_Fc=2-1_Y	Cycle=16_Fc=2-1_X	Cycle=16_Fc=2-1_Y
2	0	2	14.0898	2	21.0723	2	24.6113	2	27.6992	2	29.7695	2	31.8379	2	32.3496	2	34.1289	2	36.752	2	37.0605	2	40.7109	2	43.1621	2	43.8398	2	45.3691	2	46.9512
2.1	0	2.1	14.0996	2.1	21.082	2.1	24.6211	2.1	27.709	2.1	29.7891	2.1	31.8379	2.1	32.3516	2.1	34.1387	2.1	36.7617	2.1	37.0703	2.1	40.7109	2.1	43.1719	2.1	43.8496	2.1	45.3691	2.1	46.9609
2.2	0	2.2	14.0703	2.2	21.041	2.2	24.5801	2.2	27.6699	2.2	29.7695	2.2	31.8008	2.2	32.3203	2.2	34.0879	2.2	36.7227	2.2	37.0313	2.2	40.6621	2.2	43.1328	2.2	43.8008	2.2	45.3301	2.2	46.9199
2.3	0	2.3	14.0684	2.3	21.0293	2.3	24.5684	2.3	27.668	2.3	29.7793	2.3	31.7988	2.3	32.3086	2.3	34.0859	2.3	36.7109	2.3	37.0195	2.3	40.6504	2.3	43.1211	2.3	43.7988	2.3	45.3184	2.3	46.9082
2.4	0	2.4	14.0684	2.4	21.0391	2.4	24.5801	2.4	27.6777	2.4	29.7891	2.4	31.7988	2.4	32.3086	2.4	34.0859	2.4	36.7109	2.4	37.0195	2.4	40.6504	2.4	43.1211	2.4	43.7988	2.4	45.3281	2.4	46.9316
2.5	0	2.5	14.0879	2.5	21.0488	2.5	24.5898	2.5	27.6875	2.5	29.8086	2.5	31.8184	2.5	32.3281	2.5	34.1074	2.5	36.7305	2.5	37.0293	2.5	40.6699	2.5	43.1406	2.5	43.8184	2.5	45.3477	2.5	46.9512
2.6	0	2.6	14.0781	2.6	21.041	2.6	24.5801	2.6	27.6875	2.6	29.7988	2.6	31.7988	2.6	32.3086	2.6	34.1074	2.6	36.7109	2.6	37.0098	2.6	40.6504	2.6	43.1211	2.6	43.7988	2.6	45.3379	2.6	46.9414
2.7	0	2.7	14.0781	2.7	21.041	2.7	24.5703	2.7	27.6777	2.7	29.7988	2.7	31.8008	2.7	32.2988	2.7	34.0977	2.7	36.7109	2.7	37.0195	2.7	40.6602	2.7	43.1309	2.7	43.7988	2.7	45.3379	2.7	46.9414
2.8	0	2.8	14.0879	2.8	21.0605	2.8	24.5996	2.8	27.6973	2.8	29.8184	2.8	31.8105	2.8	32.3184	2.8	34.1172	2.8	36.7305	2.8	37.0293	2.8	40.6797	2.8	43.1504	2.8	43.8184	2.8	45.3672	2.8	46.9512
2.9	0	2.9	14.0879	2.9	21.0508	2.9	24.5898	2.9	27.6973	2.9	29.8086	2.9	31.8105	2.9	32.3203	2.9	34.1191	2.9	36.7207	2.9	37.0293	2.9	40.6797	2.9	43.1504	2.9	43.8184	2.9	45.3574	2.9	46.9512
