Cycle: 15  SMARTA2-9V  195 nM_X	Cycle: 15  SMARTA2-9V  195 nM_Y	Cycle: 16  SMARTA2-9V  390 nM_X	Cycle: 16  SMARTA2-9V  390 nM_Y	Cycle: 17  SMARTA2-9V  780 nM_X	Cycle: 17  SMARTA2-9V  780 nM_Y	Cycle: 18  SMARTA2-9V  1560 nM_X	Cycle: 18  SMARTA2-9V  1560 nM_Y	Cycle: 19  SMARTA2-9V  3125 nM_X	Cycle: 19  SMARTA2-9V  3125 nM_Y	Cycle: 20  SMARTA2-9V  6250 nM_X	Cycle: 20  SMARTA2-9V  6250 nM_Y	Cycle: 21  SMARTA2-9V  12500 nM_X	Cycle: 21  SMARTA2-9V  12500 nM_Y	Cycle: 22  SMARTA2-9V  25000 nM_X	Cycle: 22  SMARTA2-9V  25000 nM_Y	Cycle: 23  SMARTA2-9V  50000 nM_X	Cycle: 23  SMARTA2-9V  50000 nM_Y	Cycle: 24  SMARTA2-9V  100000 nM_X	Cycle: 24  SMARTA2-9V  100000 nM_Y
-57,56	0,171204	-57,56	0,0963745	-57,56	0,195496	-57,56	0,122375	-57,5599	0,113655	-57,56	-0,267639	-57,56	-0,226013	-57,5599	-0,309746	-57,56	-0,291443	-57,56	-0,315857
-57,46	0,15955	-57,46	0,113953	-57,46	0,185795	-57,46	0,11261	-57,46	0,111698	-57,46	-0,277405	-57,46	-0,227901	-57,46	-0,329281	-57,46	-0,301144	-57,46	-0,304138
-57,36	0,171204	-57,36	0,104187	-57,36	0,205261	-57,36	0,110657	-57,36	0,121399	-57,36	-0,298889	-57,36	-0,237732	-57,3599	-0,33123	-57,36	-0,303162	-57,36	-0,304138
-57,26	0,161438	-57,26	0,0944214	-57,26	0,205261	-57,26	0,102844	-57,2599	0,12146	-57,26	-0,31842	-57,26	-0,235779	-57,2599	-0,329285	-57,26	-0,32074	-57,26	-0,304138
-57,16	0,130188	-57,16	0,0651245	-57,16	0,175964	-57,16	0,0911255	-57,16	0,121399	-57,16	-0,31842	-57,16	-0,247498	-57,16	-0,360596	-57,16	-0,330505	-57,16	-0,335388
-57,06	0,122375	-57,06	0,0748901	-57,06	0,175964	-57,06	0,0930786	-57,0599	0,123425	-57,06	-0,316467	-57,06	-0,267029	-57,0599	-0,368336	-57,06	-0,328552	-57,06	-0,343201
-56,96	0,110729	-56,96	0,0748901	-56,96	0,176037	-56,96	0,100891	-56,96	0,121471	-56,96	-0,285217	-56,96	-0,276722	-56,96	-0,360523	-56,96	-0,310902	-56,96	-0,323669
-56,86	0,120422	-56,86	0,0827026	-56,86	0,183777	-56,86	0,11261	-56,86	0,119446	-56,86	-0,296936	-56,86	-0,268982	-56,8599	-0,350769	-56,86	-0,310974	-56,86	-0,315857
-56,76	0,098938	-56,76	0,0748901	-56,76	0,15448	-56,76	0,0911255	-56,7599	0,0921745	-56,76	-0,306702	-56,76	-0,276794	-56,7599	-0,362476	-56,76	-0,32074	-56,76	-0,323669
-56,66	0,118469	-56,66	0,102234	-56,66	0,164246	-56,66	0,110657	-56,66	0,0901489	-56,66	-0,298889	-56,66	-0,268982	-56,66	-0,360596	-56,66	-0,303162	-56,66	-0,306091
-56,56	0,118469	-56,56	0,113953	-56,56	0,166199	-56,56	0,110657	-56,5599	0,111706	-56,56	-0,296936	-56,56	-0,276794	-56,5599	-0,350758	-56,56	-0,291443	-56,56	-0,284607
-56,46	0,122456	-56,46	0,125671	-56,46	0,18581	-56,46	0,11261	-56,46	0,111713	-56,46	-0,277405	-56,46	-0,276714	-56,46	-0,3195	-56,46	-0,269878	-56,46	-0,282654
-56,36	0,130188	-56,36	0,113953	-56,36	0,205261	-56,36	0,110657	-56,36	0,131165	-56,36	-0,267639	-56,36	-0,257263	-56,3599	-0,309746	-56,36	-0,260193	-56,36	-0,265076
