X	Y	Req vs C_X	Req vs C_Y
1,95e-7	5,17111	1,95e-7	5,75984
3,9e-7	11,0917	1,20313e-6	32,849
7,8e-7	21,9504	2,21126e-6	56,1966
1,56e-6	42,2	3,21939e-6	76,5276
3,125e-6	75,8835	4,22753e-6	94,3913
6,25e-6	124,191	5,23566e-6	110,211
1,25e-5	184,362	6,24379e-6	124,319
2,5e-5	248,585	7,25192e-6	136,978
5e-5	299,155	8,26005e-6	148,401
1e-4	328,787	9,26818e-6	158,76
		1,02763e-5	168,198
		1,12844e-5	176,832
		1,22926e-5	184,76
		1,33007e-5	192,066
		1,43088e-5	198,82
		1,5317e-5	205,083
		1,63251e-5	210,906
		1,73332e-5	216,334
		1,83414e-5	221,406
		1,93495e-5	226,155
		2,03576e-5	230,612
		2,13658e-5	234,803
		2,23739e-5	238,75
		2,3382e-5	242,476
		2,43902e-5	245,996
		2,53983e-5	249,33
		2,64064e-5	252,489
		2,74145e-5	255,489
		2,84227e-5	258,341
		2,94308e-5	261,055
		3,04389e-5	263,641
		3,14471e-5	266,108
		3,24552e-5	268,464
		3,34633e-5	270,717
		3,44715e-5	272,873
		3,54796e-5	274,938
		3,64877e-5	276,918
		3,74959e-5	278,818
		3,8504e-5	280,642
		3,95121e-5	282,396
		4,05203e-5	284,082
		4,15284e-5	285,706
		4,25365e-5	287,27
		4,35446e-5	288,778
		4,45528e-5	290,232
		4,55609e-5	291,636
		4,6569e-5	292,992
		4,75772e-5	294,302
		4,85853e-5	295,569
		4,95934e-5	296,794
		5,06016e-5	297,981
		5,16097e-5	299,13
		5,26178e-5	300,243
		5,3626e-5	301,322
		5,46341e-5	302,369
		5,56422e-5	303,385
		5,66504e-5	304,371
		5,76585e-5	305,329
		5,86666e-5	306,26
		5,96747e-5	307,164
		6,06829e-5	308,044
		6,1691e-5	308,899
		6,26991e-5	309,732
		6,37073e-5	310,543
		6,47154e-5	311,332
		6,57235e-5	312,101
		6,67317e-5	312,851
		6,77398e-5	313,581
		6,87479e-5	314,294
		6,97561e-5	314,989
		7,07642e-5	315,667
		7,17723e-5	316,329
		7,27805e-5	316,975
		7,37886e-5	317,606
		7,47967e-5	318,222
		7,58048e-5	318,825
		7,6813e-5	319,413
		7,78211e-5	319,989
		7,88292e-5	320,552
		7,98374e-5	321,103
		8,08455e-5	321,641
		8,18536e-5	322,168
		8,28618e-5	322,684
		8,38699e-5	323,189
		8,4878e-5	323,684
		8,58862e-5	324,169
		8,68943e-5	324,643
		8,79024e-5	325,109
		8,89106e-5	325,565
		8,99187e-5	326,011
		9,09268e-5	326,45
		9,19349e-5	326,879
		9,29431e-5	327,301
		9,39512e-5	327,714
		9,49593e-5	328,12
		9,59675e-5	328,518
		9,69756e-5	328,909
		9,79837e-5	329,293
		9,89919e-5	329,67
		1e-4	330,04
			
