Cycle: 15  SMARTA2-9V  98 nM_X	Cycle: 15  SMARTA2-9V  98 nM_Y	Cycle: 16  SMARTA2-9V  195 nM_X	Cycle: 16  SMARTA2-9V  195 nM_Y	Cycle: 17  SMARTA2-9V  390 nM_X	Cycle: 17  SMARTA2-9V  390 nM_Y	Cycle: 18  SMARTA2-9V  780 nM_X	Cycle: 18  SMARTA2-9V  780 nM_Y	Cycle: 19  SMARTA2-9V  1560 nM_X	Cycle: 19  SMARTA2-9V  1560 nM_Y	Cycle: 20  SMARTA2-9V  3125 nM_X	Cycle: 20  SMARTA2-9V  3125 nM_Y	Cycle: 21  SMARTA2-9V  6250 nM_X	Cycle: 21  SMARTA2-9V  6250 nM_Y	Cycle: 22  SMARTA2-9V  12500 nM_X	Cycle: 22  SMARTA2-9V  12500 nM_Y	Cycle: 23  SMARTA2-9V  25000 nM_X	Cycle: 23  SMARTA2-9V  25000 nM_Y	Cycle: 24  SMARTA2-9V  50000 nM_X	Cycle: 24  SMARTA2-9V  50000 nM_Y	Cycle: 25  SMARTA2-9V  100000 nM_X	Cycle: 25  SMARTA2-9V  100000 nM_Y
-57,86	0,343994	-57,96	0,500122	-57,96	0,530273	-57,96	0,479492	-57,86	0,377686	-57,96	0,207275	-57,96	0,0229492	-57,86	-0,237366	-57,96	-0,417664	-57,96	-0,563232	-57,86	-0,772339
-57,76	0,355644	-57,86	0,476685	-57,86	0,487305	-57,8599	0,477608	-57,7599	0,377686	-57,8599	0,187813	-57,86	-4,88281e-4	-57,76	-0,237434	-57,8599	-0,421501	-57,8599	-0,56707	-57,76	-0,74897
-57,66	0,363525	-57,7599	0,490356	-57,7599	0,500977	-57,7599	0,479492	-57,66	0,397217	-57,7599	0,19751	-57,7599	0,0229492	-57,66	-0,217834	-57,7599	-0,409851	-57,7599	-0,584717	-57,66	-0,72937
-57,56	0,384941	-57,66	0,498169	-57,66	0,508789	-57,66	0,49707	-57,56	0,397148	-57,66	0,207275	-57,66	0,0522461	-57,56	-0,21595	-57,66	-0,380554	-57,66	-0,567139	-57,56	-0,729439
-57,46	0,375244	-57,5599	0,500122	-57,5599	0,520508	-57,5599	0,489258	-57,46	0,377686	-57,5599	0,19751	-57,5599	0,0522461	-57,46	-0,266716	-57,5599	-0,380554	-57,5599	-0,565186	-57,46	-0,75872
-57,36	0,383057	-57,46	0,490356	-57,46	0,500977	-57,46	0,467773	-57,36	0,377686	-57,46	0,177979	-57,46	0,0327148	-57,36	-0,268616	-57,46	-0,419617	-57,46	-0,596436	-57,36	-0,758667
-57,26	0,375183	-57,36	0,468872	-57,36	0,508789	-57,3599	0,489319	-57,2599	0,377686	-57,3599	0,187805	-57,36	0,0307617	-57,26	-0,266724	-57,3599	-0,411743	-57,3599	-0,596375	-57,26	-0,768494
-57,16	0,365479	-57,2599	0,451294	-57,2599	0,491211	-57,2599	0,481445	-57,16	0,36792	-57,2599	0,177979	-57,2599	0,0131836	-57,16	-0,264709	-57,2599	-0,439148	-57,2599	-0,604248	-57,16	-0,799683
-57,06	0,355648	-57,16	0,439575	-57,16	0,508789	-57,16	0,489258	-57,06	0,387386	-57,16	0,187744	-57,16	0,0229492	-57,06	-0,276493	-57,16	-0,441101	-57,16	-0,614014	-57,06	-0,789982
-56,96	0,355713	-57,0599	0,449341	-57,0599	0,489258	-57,0599	0,479492	-56,96	0,39917	-57,0599	0,205322	-57,0599	0,0209961	-56,96	-0,264778	-57,0599	-0,450867	-57,0599	-0,633545	-56,96	-0,778267
-56,86	0,375244	-56,96	0,449341	-56,96	0,489258	-56,96	0,479492	-56,86	0,428467	-56,96	0,218994	-56,96	0,0229492	-56,86	-0,256897	-56,96	-0,439148	-56,96	-0,633545	-56,86	-0,748901
-56,76	0,367371	-56,86	0,439575	-56,86	0,510742	-56,8599	0,518616	-56,7599	0,408936	-56,8599	0,228821	-56,86	0,0620117	-56,76	-0,274536	-56,8599	-0,429321	-56,8599	-0,623718	-56,76	-0,748962
-56,66	0,365479	-56,7599	0,439575	-56,7599	0,512695	-56,7599	0,530273	-56,66	0,418701	-56,7599	0,22876	-56,7599	0,0737305	-56,66	-0,245178	-56,7599	-0,437195	-56,7599	-0,623779	-56,66	-0,758667
-56,56	0,336121	-56,66	0,441528	-56,66	0,530273	-56,66	0,540039	-56,56	0,397156	-56,66	0,22876	-56,66	0,0639648	-56,56	-0,247192	-56,66	-0,429382	-56,66	-0,594482	-56,56	-0,780212
-56,46	0,343994	-56,5599	0,42981	-56,5599	0,520508	-56,5599	0,538086	-56,46	0,426514	-56,5599	0,22876	-56,5599	0,0424805	-56,46	-0,22768	-56,5599	-0,439148	-56,5599	-0,604248	-56,46	-0,739216
-56,36	0,357666	-56,46	0,459106	-56,46	0,540039	-56,46	0,569336	-56,36	0,449951	-56,46	0,236572	-56,46	0,0620117	-56,36	-0,184631	-56,46	-0,411804	-56,46	-0,58667	-56,36	-0,705933
-56,26	0,365414	-56,36	0,480591	-56,36	0,551758	-56,3599	0,592838	-56,2599	0,438232	-56,3599	0,250309	-56,36	0,0834961	-56,26	-0,186649	-56,3599	-0,378536	-56,3599	-0,563168	-56,26	-0,688419
-56,16	0,404541	-56,2599	0,480591	-56,2599	0,551758	-56,2599	0,600586	-56,16	0,467529	-56,2599	0,258057	-56,2599	0,103027	-56,16	-0,178772	-56,2599	-0,388367	-56,2599	-0,553467	-56,16	-0,639526
-56,06	0,394707	-56,16	0,509888	-56,16	0,588867	-56,16	0,639648	-56,06	0,447929	-56,16	0,297119	-56,16	0,14209	-56,06	-0,167122	-56,16	-0,341492	-56,16	-0,535889	-56,06	-0,647408
