Cycle: 3  SMARTA2-9C  195 nM_X	Cycle: 3  SMARTA2-9C  195 nM_Y	Cycle: 4  SMARTA2-9C  390 nM_X	Cycle: 4  SMARTA2-9C  390 nM_Y	Cycle: 5  SMARTA2-9C  780 nM_X	Cycle: 5  SMARTA2-9C  780 nM_Y	Cycle: 6  SMARTA2-9C  1560 nM_X	Cycle: 6  SMARTA2-9C  1560 nM_Y	Cycle: 7  SMARTA2-9C  3125 nM_X	Cycle: 7  SMARTA2-9C  3125 nM_Y	Cycle: 8  SMARTA2-9C  6250 nM_X	Cycle: 8  SMARTA2-9C  6250 nM_Y	Cycle: 9  SMARTA2-9C  12500 nM_X	Cycle: 9  SMARTA2-9C  12500 nM_Y	Cycle: 10  SMARTA2-9C  25000 nM_X	Cycle: 10  SMARTA2-9C  25000 nM_Y	Cycle: 11  SMARTA2-9C  50000 nM_X	Cycle: 11  SMARTA2-9C  50000 nM_Y	Cycle: 12  SMARTA2-9C  100000 nM_X	Cycle: 12  SMARTA2-9C  100000 nM_Y
-57,46	0,0773926	-57,46	0,114258	-57,36	0,237511	-57,36	0,177391	-57,46	0,319092	-57,46	0,352966	-57,36	0,369286	-57,46	0,461548	-57,46	0,401733	-57,46	0,390137
-57,36	0,0666122	-57,36	0,115196	-57,26	0,236534	-57,26	0,197899	-57,36	0,318077	-57,36	0,373436	-57,26	0,370262	-57,3599	0,460606	-57,36	0,402672	-57,3599	0,391148
-57,2599	0,0676613	-57,26	0,133751	-57,16	0,25708	-57,16	0,198914	-57,26	0,307335	-57,2599	0,382298	-57,16	0,379089	-57,2599	0,471348	-57,2599	0,401768	-57,2599	0,380405
-57,16	0,0568848	-57,16	0,144531	-57,06	0,268761	-57,06	0,196922	-57,16	0,318115	-57,16	0,393005	-57,06	0,388817	-57,16	0,484009	-57,16	0,412476	-57,16	0,402832
-57,06	0,0666122	-57,06	0,14254	-56,96	0,28825	-56,96	0,22813	-57,06	0,318077	-57,06	0,381248	-56,96	0,39854	-57,0599	0,482098	-57,0599	0,42033	-57,0599	0,410686
-56,96	0,0881348	-56,96	0,154297	-56,86	0,287315	-56,86	0,256493	-56,96	0,310303	-56,96	0,394958	-56,86	0,41909	-56,96	0,491821	-56,96	0,432007	-56,96	0,422363
-56,86	0,108604	-56,86	0,163048	-56,76	0,278526	-56,76	0,259422	-56,86	0,328819	-56,86	0,384178	-56,76	0,439598	-56,8599	0,522129	-56,86	0,452477	-56,8599	0,440952
-56,7599	0,107712	-56,76	0,152306	-56,66	0,292236	-56,66	0,282898	-56,76	0,339561	-56,7599	0,40477	-56,66	0,463074	-56,7599	0,542648	-56,7599	0,463303	-56,7599	0,461472
-56,66	0,113525	-56,66	0,158203	-56,56	0,302948	-56,56	0,274078	-56,66	0,353271	-56,66	0,428162	-56,56	0,444489	-56,66	0,556274	-56,66	0,508179	-56,66	0,494629
-56,56	0,114471	-56,56	0,14743	-56,46	0,298988	-56,46	0,299416	-56,56	0,342499	-56,56	0,438873	-56,46	0,489357	-56,5599	0,547539	-56,5599	0,49749	-56,5599	0,505424
-56,46	0,108643	-56,46	0,143555	-56,36	0,284389	-56,36	0,282864	-56,46	0,377686	-56,46	0,454529	-56,36	0,496243	-56,46	0,551392	-56,46	0,501343	-56,46	0,540527
-56,36	0,105679	-56,36	0,128872	-56,26	0,268761	-56,26	0,257469	-56,36	0,364956	-56,36	0,459377	-56,26	0,507957	-56,3599	0,528973	-56,36	0,508144	-56,3599	0,525921
-56,2599	0,0959816	-56,26	0,123009	-56,16	0,25708	-56,16	0,237976	-56,26	0,38839	-56,2599	0,441868	-56,16	0,500183	-56,2599	0,530918	-56,2599	0,531651	-56,2599	0,531773
-56,16	0,0881348	-56,16	0,103516	-56,06	0,24239	-56,06	0,223286	-56,16	0,390381	-56,16	0,453552	-56,06	0,48354	-56,16	0,50354	-56,16	0,521851	-56,16	0,521973
-56,06	0,0910225	-56,06	0,0888252	-55,96	0,237473	-55,96	0,208603	-56,06	0,38155	-56,06	0,448627	-55,96	0,480576	-56,0599	0,486973	-56,0599	0,536533	-56,0599	0,505405
-55,96	0,0979004	-55,96	0,0742188	-55,86	0,227745	-55,86	0,18911	-55,96	0,378662	-55,96	0,41449	-55,86	0,449364	-55,96	0,462524	-55,96	0,541382	-55,96	0,490723
-55,86	0,0666122	-55,86	0,0624619	-55,76	0,227745	-55,76	0,159813	-55,86	0,35714	-55,86	0,392967	-55,76	0,439598	-55,8599	0,441074	-55,86	0,551109	-55,8599	0,480991
-55,7599	0,0588722	-55,76	0,0526962	-55,66	0,302002	-55,66	0,136414	-55,76	0,329796	-55,7599	0,363743	-55,66	0,398621	-55,7599	0,392246	-55,7599	0,512119	-55,7599	0,441929
